,restaurant,cuisines,average check,number of reviews,user's rating
54,Хинкали Point,"Кафе,Подходит для вегетарианцев,Для веганов",700,159,4.5
55,Meat Puppets Bar & Meatarea,"Американская,Стейк-хаус,Бар,Европейская,Винный бар,Барбекю,Центральноевропейская",1500,254,4.5
56,Молдова,"Европейская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,140,4.5
57,SAVVA,"Русская,Европейская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,491,4.5
58,"Ресторан ""Гуси-Лебеди""","Русская,Морепродукты,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,300,4.5
59,Боэми,Европейская,1500,112,4.5
60,Ресторан Bjorn,"Европейская,Шведская,Скандинавская,Датская,Норвежская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,481,4.5
61,Steak It Easy,"Стейк-хаус,Бар,Гриль,Винный бар,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,173,4.5
62,Pizzamento Tverskaya,"Итальянская,Пицца,Средиземноморская,Гриль,Винный бар,Подходит для вегетарианцев,Для веганов",1500,117,4.5
63,Кафе Мандариновый гусь,"Пицца,Европейская,Кафе,Фастфуд,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",700,329,4.5
64,Кафе ПушкинЪ,"Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,7015,4.5
65,Chicago Grill & Bar,"Американская,Стейк-хаус,Бар,Европейская,Гриль,Безглютеновые блюда",3000,318,4.5
66,Хачапури,"Восточноевропейская,Европейская,Грузинская,Подходит для вегетарианцев,Для веганов",1500,263,4.5
67,Delicatessen,"Бар,Европейская,Центральноевропейская,Международная,Безглютеновые блюда",1500,283,4.5
68,Мари Vanna,"Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,692,4.5
69,Стейк Хаус Бутчер,"Американская,Стейк-хаус,Европейская",3000,1081,4.5
70,Остерия Марио,"Итальянская,Средиземноморская,Европейская",1500,86,5.0
71,Casa Leone,"Итальянская,Кафе,Бар,Европейская",1500,317,4.5
72,Extra Virgin - гриль.хлеб.вино,"Итальянская,Пицца,Средиземноморская,Винный бар,Подходит для вегетарианцев,Для веганов",1500,282,4.5
73,Бардак,"Кафе,Турецкая,Ближневосточная,Восточноевропейская,Подходит для вегетарианцев,Для веганов,Халяль",1500,290,4.5
74,Люди как люди,"Кафе,Европейская,Подходит для вегетарианцев,Для веганов",700,277,4.5
75,Лао Ли,"Кафе,Фастфуд,Азиатская,Вьетнамская,Супы,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",700,343,4.5
76,Обломов,"Русская,Подходит для вегетарианцев",3000,251,4.5
77,Кафе Мишель,"Средиземноморская,Французская,Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,419,4.5
78,Porosello,"Бар,Европейская,Паб,Подходит для вегетарианцев,Для веганов",1500,117,4.5
79,Зодиак,"Китайская,Японская,Суши,Азиатская,Вьетнамская,Сингапурская,Тайская,Подходит для вегетарианцев,Для веганов",1500,225,4.5
80,Мит & Фиш,"Американская,Гриль,Стейк-хаус,Морепродукты,Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,379,4.5
81,Бобби Дэззлер,"Бар,Европейская,Британская,Паб,Центральноевропейская",1500,443,4.5
82,Хачапури,"Восточноевропейская,Грузинская,Подходит для вегетарианцев,Для веганов",1500,751,4.5
83,Fresh,"Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,270,4.5
84,Oстерия Альберобeлло,"Итальянская,Французская,Морепродукты,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,81,4.5
85,Moregrill,"Морепродукты,Суши,Европейская,Гриль,Здоровая,Для веганов,Безглютеновые блюда,Подходит для вегетарианцев",1500,179,4.5
86,Lari,"Европейская,Восточноевропейская,Подходит для вегетарианцев,Для веганов",1500,295,4.5
87,Хищник Стейкs & Burgers,"Американская,Стейк-хаус,Бар,Фастфуд,Европейская,Паб,Подходит для вегетарианцев",700,233,4.5
88,Ритц-Карлтон Бар и Лобби Лаунж,"Бар,Центральноевропейская,Кафе",3000,151,4.5
89,Bar BQ Cafe,"Международная,Кафе,Барбекю",1500,688,4.5
90,Честная кухня,"Морепродукты,Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,444,4.5
91,Бар Бирмуд,"Итальянская,Бар,Паб,Фастфуд",700,58,5.0
92,Рыбный базар,"Морепродукты,Средиземноморская,Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,427,4.5
93,Рынок и общепит ШУК,"Ближневосточная,Морепродукты,Средиземноморская,Израильская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,174,4.5
94,Бочка,"Стейк-хаус,Барбекю,Европейская,Русская,Подходит для вегетарианцев",1500,231,4.5
95,"Ресторан-бар ""Консерватория""","Бар,Международная,Европейская,Современная,Здоровая,Подходит для вегетарианцев",3000,141,4.5
96,Селфи,"Русская,Морепродукты,Средиземноморская,Европейская,Восточноевропейская,Центральноевропейская,Современная,Подходит для вегетарианцев,Для веганов",3000,312,4.5
97,"Бар ""Сити Спейс""","Международная,Суши,Азиатская,Бар",3000,534,4.5
98,Китайская Грамота,"Китайская,Азиатская,Подходит для вегетарианцев,Для веганов",1500,546,4.5
99,Black Thai,"Азиатская,Тайская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,568,4.5
100,Винный базар,"Винный бар,Подходит для вегетарианцев",1500,54,5.0
101,Saperavi Cafe,"Грузинская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,282,4.5
102,Брассери Брюгге,"Бельгийская,Бар,Европейская,Паб,Центральноевропейская",1500,202,4.5
103,Ресторан Субботица,"Морепродукты,Средиземноморская,Барбекю,Европейская,Хорватская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,394,4.5
104,Кафе Рецептор,"Индийская,Европейская,Азиатская,Корейская,Русская,Восточноевропейская,Суши,Здоровая,Ближневосточная,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,143,4.5
105,The Сад,"Европейская,Морепродукты,Центральноевропейская,Современная,Супы,Подходит для вегетарианцев,Для веганов",3000,349,4.5
106,Бистро Крылья,"Американская,Фастфуд,Современная,Здоровая,Уличная еда,Подходит для вегетарианцев",1500,76,4.5
107,Эларджи,"Грузинская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,325,4.5
108,Духан Чито-Ра,Подходит для вегетарианцев,700,234,4.5
109,Остерия Тоскана,"Итальянская,Пицца,Гастропаб,Подходит для вегетарианцев,Для веганов",1500,156,4.5
110,Пороселло,"Американская,Бар,Европейская,Паб,Винный бар,Центральноевропейская,Кафе,Морепродукты,Русская,Подходит для вегетарианцев,Для веганов",1500,178,5.0
111,Пропаганда,"Американская,Бар,Европейская,Русская,Восточноевропейская,Центральноевропейская,Современная,Подходит для вегетарианцев,Для веганов",1500,595,4.5
112,Cantinetta Antinori,"Итальянская,Средиземноморская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,200,4.5
113,"Джаз-клуб ""Эссе""","Бар,Кафе,Европейская,Центральноевропейская",1500,174,4.5
114,Ресторан Китайские новости,"Китайская,Азиатская,Тайваньская,Подходит для вегетарианцев,Для веганов",1500,339,4.5
115,Стейк Хаус Бутчер,"Американская,Стейк-хаус,Европейская",1500,108,4.5
116,Кафе Натахтари,"Европейская,Кафе,Кавказская,Грузинская,Подходит для вегетарианцев",1500,344,4.5
117,Техникум,"Бар,Морепродукты,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,252,4.5
118,Остерия Марио,"Итальянская,Подходит для вегетарианцев,Для веганов",1500,172,4.5
119,SOS.CAFE,"Бар,Европейская,Гриль,Гастропаб,Датская,Американская,Подходит для вегетарианцев,Для веганов",1500,410,4.5
120,Турандот,"Китайская,Японская,Европейская,Азиатская,Русская,Центральноевропейская,Гриль,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,1509,4.5
121,Кафе Кусочки,"Европейская,Восточноевропейская,Центральноевропейская",1500,393,4.5
122,Диду,"Бар,Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,584,4.5
123,MarketPlace,"Итальянская,Европейская,Азиатская,Морепродукты,Русская,Подходит для вегетарианцев,Для веганов",1500,191,4.5
124,Суп кафе,"Европейская,Русская,Супы,Восточноевропейская,Центральноевропейская,Международная,Здоровая,Подходит для вегетарианцев,Для веганов",1500,480,4.0
125,AQ Chicken,Центральноевропейская,1500,168,4.5
126,Боцман,"Морепродукты,Средиземноморская,Барбекю,Европейская,Русская,Гриль,Подходит для вегетарианцев,Для веганов",1500,139,4.5
127,Столовая 57,"Кафе,Фастфуд,Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",700,2052,4.5
128,Брянский Бык,"Стейк-хаус,Гриль,Русская",1500,69,4.5
129,Хачапури,"Грузинская,Европейская,Восточноевропейская,Подходит для вегетарианцев,Для веганов",1500,102,4.5
130,Зотман Пицца Пай,"Итальянская,Европейская,Пицца,Подходит для вегетарианцев",1500,132,4.5
131,Рецептор,"Европейская,Азиатская,Корейская,Восточноевропейская,Здоровая,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,289,4.5
132,Черетто,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,144,4.5
133,Рыбы нет,"Американская,Стейк-хаус,Барбекю,Европейская,Центральноевропейская",1500,526,4.5
134,COFFEE ROOM,"Бар,Кафе,Европейская,Паб,Подходит для вегетарианцев,Для веганов",1500,138,4.5
135,Hite,"Барбекю,Азиатская,Корейская,Для веганов,Подходит для вегетарианцев",1500,159,4.5
136,Донна Маргарита,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская,Гриль,Подходит для вегетарианцев,Для веганов",1500,298,4.5
137,Ю-МЭ,"Японская,Морепродукты,Суши,Азиатская,Подходит для вегетарианцев,Для веганов",1500,269,4.5
138,Кавказская пленница,"Барбекю,Восточноевропейская",1500,251,4.5
139,Balzi Rossi Restaurant,"Итальянская,Морепродукты,Средиземноморская,Сингапурская,Французская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",3000,133,4.5
140,Корчма Тарас Бульба,"Русская,Центральноевропейская,Украинская,Для веганов,Безглютеновые блюда,Подходит для вегетарианцев",1500,735,4.5
141,Шотландская клетка,"Европейская,Современная,Супы,Шотландская",1500,204,4.5
142,Одесса-Мама,"Европейская,Русская,Восточноевропейская,Украинская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,797,4.5
143,Ресторан Nobu Москва,"Японская,Морепродукты,Суши,Азиатская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,394,4.5
144,Vogue Cafe,"Кафе,Европейская,Центральноевропейская,Современная,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,482,4.0
145,Osteria Mario,"Итальянская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,113,4.5
146,Ресторан Cheapside,"Американская,Бар,Европейская",1500,181,4.5
147,Большой,"Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,726,4.5
148,Ай Лав Кейк,"Американская,Кафе,Европейская,Подходит для вегетарианцев",1500,324,4.0
149,Зафферано,"Ближневосточная,Гриль,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,104,4.5
150,Сыроварня,"Итальянская,Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,377,4.0
151,Гранд Кафе Dr. Живаго,"Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,2028,4.5
152,Beer Happens,"Бар,Европейская,Азиатская,Паб,Гастропаб,Центральноевропейская",1500,180,4.5
153,Корчма Тарас Бульба,"Европейская,Русская,Восточноевропейская,Украинская,Подходит для вегетарианцев,Для веганов",1500,567,4.0
154,Рецептор,"Европейская,Корейская,Восточноевропейская,Азиатская,Здоровая,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,256,4.5
155,Пробка на Цветном,"Пицца,Итальянская,Средиземноморская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Безглютеновые блюда,Для веганов",1500,463,4.5
156,Кафе Саперави,"Грузинская,Современная,Для веганов,Безглютеновые блюда,Подходит для вегетарианцев",1500,586,4.0
157,Бараshка,"Ближневосточная,Европейская,Восточноевропейская,Кавказская,Азербайджанская,Для веганов,Безглютеновые блюда",1500,280,4.0
158,Белорусская хата,"Русская,Восточноевропейская,Супы",1500,175,4.5
159,Ресторан Фаренгейт,"Европейская,Центральноевропейская,Современная,Здоровая,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,324,4.5
160,La Bottega Siciliana,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская,Для веганов,Безглютеновые блюда,Подходит для вегетарианцев",3000,598,4.5
161,Венеция,"Итальянская,Пицца,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,304,4.5
162,Бобры и Утки,"Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,215,4.0
163,Стейк-Хаус Гудман,"Стейк-хаус,Бар,Европейская,Центральноевропейская",1500,264,4.5
164,Грузин,"Европейская,Грузинская,Подходит для вегетарианцев",1500,112,4.5
165,Машрумс,"Итальянская,Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,182,4.5
166,Ruski,"Русская,Европейская,Подходит для вегетарианцев,Для веганов",1500,506,4.0
167,Ресторан Казбек,"Грузинская,Восточноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,162,4.5
168,Квартира 44,"Бар,Кафе,Европейская,Восточноевропейская,Центральноевропейская,Русская,Подходит для вегетарианцев,Для веганов",1500,216,4.5
169,Burger & Pizzetta,"Итальянская,Американская,Средиземноморская",1500,49,5.0
170,Иерусалим,"Средиземноморская,Израильская,Подходит для вегетарианцев,Для веганов,Кошерная",1500,159,4.5
171,Болоньетта,"Итальянская,Морепродукты,Барбекю,Супы,Подходит для вегетарианцев",1500,91,4.5
172,Бар Италия,"Итальянская,Бар,Европейская,Винный бар,Подходит для вегетарианцев,Для веганов",700,142,4.5
173,Стакан,"Европейская,Подходит для вегетарианцев,Для веганов",700,99,5.0
174,Корейский ресторан Белый журавль и магазин,"Азиатская,Корейская,Современная,Для веганов,Подходит для вегетарианцев",1500,260,4.5
175,Баба Марта,"Европейская,Супы,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,268,4.0
176,Паб Ло Пикассо,"Бар,Морепродукты,Средиземноморская,Европейская,Испанская,Центральноевропейская,Подходит для вегетарианцев",1500,288,4.0
177,Breakfast Cafe,"Американская,Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,342,4.0
178,Никуда Не Едем,"Бар,Морепродукты,Европейская,Центральноевропейская,Современная,Гастропаб,Подходит для вегетарианцев",1500,214,4.5
179,Конер Бургер,"Американская,Бар,Гриль,Винный бар",1500,231,4.0
180,Итальянец,"Итальянская,Морепродукты,Средиземноморская,Европейская,Центральноевропейская,Гриль,Подходит для вегетарианцев,Для веганов",1500,213,4.5
181,O2 Lounge,"Бар,Суши,Европейская,Подходит для вегетарианцев,Для веганов",3000,425,4.0
182,Брассери Ламбик,"Бельгийская,Бар,Европейская,Паб,Центральноевропейская,Гриль",1500,226,4.5
183,Soho Rooms,"Китайская,Бар,Европейская,Русская",3000,219,4.5
184,Кафе Mizandari,"Восточноевропейская,Подходит для вегетарианцев,Для веганов",1500,155,4.5
185,Фани Кабани,"Стейк-хаус,Бар,Барбекю,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,530,4.5
186,Steak It Easy,"Стейк-хаус,Европейская,Бар,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,147,4.5
187,"Ресторан ""Белое Солнце Пустыни""","Азиатская,Ближневосточная,Подходит для вегетарианцев",3000,203,4.5
188,Вай Мэ!,"Грузинская,Подходит для вегетарианцев,Для веганов,Халяль,Безглютеновые блюда",700,118,5.0
189,Ла Прима,"Итальянская,Морепродукты,Средиземноморская,Европейская,Центральноевропейская,Магазин готовой еды",3000,140,4.5
190,Корчма Тарас Бульба,"Европейская,Русская,Восточноевропейская,Центральноевропейская,Украинская,Подходит для вегетарианцев,Для веганов",1500,222,4.0
191,Петрович,"Бар,Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,220,4.5
192,Ача-чача,"Кавказская,Подходит для вегетарианцев,Для веганов",1500,120,4.5
193,Мадам Галифе,"Восточноевропейская,Центральноевропейская,Международная,Европейская,Подходит для вегетарианцев,Для веганов",1500,254,4.5
194,ERWIN.РекаМореОкеан,"Магазин готовой еды,Русская,Румынская,Морепродукты,Европейская,Подходит для вегетарианцев,Безглютеновые блюда",1500,423,4.0
195,Хитрые люди,"Бар,Кафе,Паб,Современная,Здоровая",700,163,4.5
196,Голубка,"Итальянская,Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,240,4.0
197,Андиамо,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская,Гриль,Центральноевропейская,Подходит для вегетарианцев",1500,200,4.5
198,Пауланер Браухаус Павелецкий,"Немецкая,Бар,Европейская,Центральноевропейская",1500,523,4.0
199,Ресторан Marriott Royal Aurora,"Европейская,Международная",1500,88,4.5
200,Ресторан Casa di Famiglia,"Итальянская,Подходит для вегетарианцев,Для веганов",1500,199,4.5
201,Молоко,"Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,453,4.0
202,Марукамэ,"Японская,Фастфуд,Суши,Азиатская,Для веганов,Подходит для вегетарианцев",700,312,4.0
203,Burger Heroes,"Американская,Бар,Фастфуд,Центральноамериканская",1500,495,4.0
204,Mr. Ливанец,"Ливанская,Ближневосточная,Подходит для вегетарианцев,Для веганов,Халяль",1500,132,4.5
205,ОбедБуфет Новый Арбат,"Итальянская,Японская,Кафе,Фастфуд,Суши,Европейская,Азиатская,Ближневосточная,Русская,Супы,Восточноевропейская,Подходит для вегетарианцев,Для веганов",700,394,4.0
206,Чайхона №1,"Бар,Суши,Азиатская,Ближневосточная,Восточноевропейская,Паб,Подходит для вегетарианцев,Для веганов,Халяль",1500,383,4.0
207,Буоно,"Итальянская,Морепродукты,Европейская,Центральноевропейская,Для веганов,Безглютеновые блюда",3000,310,4.0
208,Скандинавия,"Европейская,Шведская,Скандинавская,Центральноевропейская",1500,187,4.0
209,Ткемали,"Подходит для вегетарианцев,Для веганов",1500,85,4.5
210,Калина Бар,"Японская,Бар,Суши,Итальянская,Средиземноморская,Подходит для вегетарианцев,Для веганов",3000,366,4.0
211,Саперави,"Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,83,4.5
212,Лига Пап,"Американская,Бар,Европейская,Паб,Центральноевропейская",1500,171,4.5
213,"Ресторан ""Вилла Паста""","Итальянская,Пицца,Морепродукты,Международная,Средиземноморская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,518,4.0
214,Дипломат Бар,"Европейская,Фьюжн,Восточноевропейская",1500,38,5.0
215,Ресторан Арарат,"Барбекю,Европейская,Восточноевропейская,Армянская,Супы,Для веганов,Подходит для вегетарианцев",1500,163,4.5
216,Чайхона №1,"Европейская,Ближневосточная,Русская,Восточноевропейская,Подходит для вегетарианцев,Для веганов",1500,364,4.0
217,Да Пино,"Пицца,Европейская,Итальянская,Гриль,Морепродукты,Подходит для вегетарианцев",1500,202,4.5
218,Ресторан Moments,"Бар,Европейская,Центральноевропейская,Для веганов",1500,161,4.5
219,Корчма Тарас Бульба,"Русская,Супы,Подходит для вегетарианцев,Для веганов",1500,255,4.5
220,Хищник Стейкs & Burgers,"Мексиканская,Американская,Европейская,Австралийская,Русская,Стейк-хаус",1500,74,4.5
221,FARШ,"Американская,Бар,Кафе,Фастфуд,Барбекю,Европейская",1500,893,4.0
222,Ресторан ДжонДжоли,"Восточноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,665,4.0
223,Пельмени да борщи,"Русская,Восточноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",700,58,5.0
224,Сыр,"Итальянская,Морепродукты,Средиземноморская,Европейская,Центральноевропейская",3000,174,4.5
225,Ресторан Novikov Restaurant and Bar,"Китайская,Японская,Морепродукты,Суши,Европейская,Азиатская,Фьюжн,Подходит для вегетарианцев,Для веганов",3000,286,4.0
